,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chuy,16,UY,1611433610,65,-33.6971,-53.4616,300.03,5.78
1,new norfolk,1,AU,1611433313,75,-42.7826,147.0587,287.59,1.1
2,tual,100,ID,1611433610,76,-5.6667,132.75,301.83,5.33
3,punta cardon,95,VE,1611433610,69,11.6581,-70.215,300.64,11.83
4,bonavista,92,CA,1611433610,93,48.6499,-53.1147,269.82,3.6
5,dzhuryn,100,UA,1611433611,89,49.0329,25.5839,277.59,3.4
6,sao joao da barra,20,BR,1611433611,54,-21.6403,-41.0511,302.15,7.2
7,rikitea,0,PF,1611433335,67,-23.1203,-134.9692,299.17,4.61
8,gaziantep,0,TR,1611433612,80,37.0594,37.3825,273.15,1.54
9,kapaa,90,US,1611433612,94,22.0752,-159.319,295.37,9.26
10,tiznit,100,MA,1611433612,82,29.5833,-9.5,287.77,0.77
11,ivanteyevka,90,RU,1611433612,100,55.9711,37.9208,275.15,3.0
12,longyearbyen,0,SJ,1611433613,72,78.2186,15.6401,260.15,5.14
13,saint-philippe,0,RE,1611433613,73,-21.3585,55.7679,299.15,2.57
14,deputatskiy,100,RU,1611433418,85,69.3,139.9,235.57,0.47
15,nago,75,JP,1611433503,77,26.5881,127.9761,292.15,9.77
16,hambantota,0,LK,1611433355,100,6.1241,81.1185,297.15,3.6
17,hobart,40,AU,1611433545,94,-42.8794,147.3294,287.59,2.57
18,ushuaia,75,AR,1611433614,36,-54.8,-68.3,291.15,8.75
19,mataura,96,NZ,1611433331,84,-46.1927,168.8643,285.93,3.58
20,aklavik,75,CA,1611433391,78,68.2191,-135.0107,255.15,3.09
21,port hardy,75,CA,1611433615,81,50.6996,-127.4199,277.15,3.09
22,avarua,46,CK,1611433477,70,-21.2078,-159.775,302.15,3.6
23,cabo san lucas,40,MX,1611433615,56,22.8909,-109.9124,296.15,5.14
24,filadelfia,40,US,1611433461,34,39.9523,-75.1638,274.26,11.32
25,muzhi,10,RU,1611433444,81,65.3667,64.6667,233.64,1.05
26,hermanus,100,ZA,1611433453,95,-34.4187,19.2345,289.82,0.89
27,vila velha,20,BR,1611433472,74,-20.3297,-40.2925,301.15,4.63
28,sola,84,VU,1611433477,80,-13.8833,167.55,300.72,5.14
29,sungaipenuh,100,ID,1611433479,83,-2.0833,101.3833,291.49,1.47
30,kpandae,24,GH,1611433617,13,8.4689,-0.0113,303.05,2.15
31,komsomolskiy,92,UZ,1611433617,54,40.4272,71.7189,269.15,2.06
32,hilo,90,US,1611433468,69,19.7297,-155.09,297.15,1.84
33,souillac,40,MU,1611433618,83,-20.5167,57.5167,299.15,1.03
34,port hedland,0,AU,1611433618,65,-20.3167,118.5667,301.15,5.66
35,pitimbu,75,BR,1611433546,69,-7.4706,-34.8086,301.15,7.2
36,punta arenas,0,CL,1611433618,47,-53.15,-70.9167,288.15,13.38
37,busselton,38,AU,1611433618,88,-33.65,115.3333,289.26,2.0
38,peniche,100,PT,1611433619,93,39.3558,-9.3811,288.15,8.94
39,methoni,61,GR,1611433619,82,36.8197,21.7049,288.15,6.17
40,iqaluit,20,CA,1611433489,85,63.7506,-68.5145,262.15,5.66
41,dikson,95,RU,1611433333,90,73.5069,80.5464,245.95,2.72
42,mount gambier,100,AU,1611433620,77,-37.8333,140.7667,291.15,2.57
43,troitsko-pechorsk,100,RU,1611433444,86,62.7084,56.1964,248.6,2.95
44,barrow,1,US,1611433620,78,71.2906,-156.7887,259.15,7.72
45,sao filipe,0,CV,1611433620,62,14.8961,-24.4956,297.3,5.33
46,cherskiy,100,RU,1611433620,86,68.75,161.3,242.21,2.04
47,rorvik,100,NO,1611433609,96,64.8621,11.2373,267.42,6.38
48,tromso,75,NO,1611433621,63,69.6496,18.957,266.15,1.54
49,santa cruz,75,BO,1611433621,78,-17.8,-63.1667,299.15,2.57
50,chulman,59,RU,1611433447,81,56.8479,124.9104,234.83,1.37
51,sobolevo,100,RU,1611433623,97,54.4299,31.8996,273.51,4.53
52,tiksi,35,RU,1611433443,79,71.6872,128.8694,231.99,2.37
53,kalmunai,8,LK,1611433623,80,7.4167,81.8167,297.23,3.27
54,saskylakh,84,RU,1611433480,82,71.9167,114.0833,238.36,2.65
55,constitucion,15,CL,1611433476,70,-35.3333,-72.4167,292.72,3.08
56,esperance,90,AU,1611433624,94,-33.8667,121.9,290.15,3.09
57,corn island,2,NI,1611433624,78,12.1694,-83.0418,300.15,7.98
58,ewa beach,40,US,1611433624,65,21.3156,-158.0072,299.15,3.09
59,marabba,33,SD,1611433624,24,12.35,32.1833,297.94,4.82
60,elk point,90,US,1611433625,54,42.6833,-96.6836,271.15,6.17
61,oskarshamn,100,SE,1611433433,95,57.2645,16.4484,273.15,1.17
62,khrebtovaya,100,RU,1611433625,91,56.7032,104.2494,249.12,1.39
63,vylkove,100,UA,1611433626,83,45.4021,29.586,282.65,7.92
64,bo rai,36,TH,1611433627,87,12.5728,102.5371,295.1,0.58
65,tomatlan,0,MX,1611433627,26,19.9333,-105.25,306.95,3.46
66,taoudenni,0,ML,1611433627,19,22.6783,-3.9836,293.6,4.44
67,upernavik,100,GL,1611433535,82,72.7868,-56.1549,266.98,3.25
68,hasaki,75,JP,1611433456,100,35.7333,140.8333,277.15,8.75
69,arlit,0,NE,1611433513,21,18.7369,7.3853,292.03,4.84
70,bluff,91,NZ,1611433628,84,-46.6,168.3333,285.93,3.58
71,egvekinot,0,RU,1611433628,89,66.3167,-179.1667,247.01,0.47
72,mount isa,98,AU,1611433628,78,-20.7333,139.5,297.15,2.06
73,maceio,75,BR,1611433628,69,-9.6658,-35.7353,300.15,5.66
74,leh,100,IN,1611433629,81,34.1667,77.5833,262.94,2.39
75,siuna,23,NI,1611433629,49,13.7332,-84.7773,303.57,3.1
76,aswan,0,EG,1611433629,30,24.0934,32.907,289.2,4.7
77,shache,3,CN,1611433629,65,38.4167,77.2406,268.61,2.27
78,lebu,10,CL,1611433629,76,-37.6167,-73.65,291.65,7.95
79,tuatapere,99,NZ,1611433478,84,-46.1333,167.6833,285.93,3.58
80,marawi,100,PH,1611433630,93,7.9986,124.2928,296.48,2.24
81,tasiilaq,48,GL,1611433346,57,65.6145,-37.6368,263.15,2.06
82,puerto ayora,40,EC,1611433630,74,-0.7393,-90.3518,301.15,5.14
83,jamestown,90,US,1611433630,73,42.097,-79.2353,267.59,7.2
84,atuona,1,PF,1611433348,79,-9.8,-139.0333,298.78,7.93
85,bathsheba,20,BB,1611433631,61,13.2167,-59.5167,301.15,6.69
86,fortuna,1,US,1611433631,66,40.5982,-124.1573,284.26,4.63
87,albany,3,US,1611433631,42,42.6001,-73.9662,268.15,3.13
88,caravelas,97,BR,1611433632,81,-17.7125,-39.2481,298.05,2.95
89,buchanan,20,LR,1611433632,94,5.8808,-10.0467,299.15,3.72
90,arraial do cabo,0,BR,1611433333,74,-22.9661,-42.0278,303.15,7.72
91,naze,20,JP,1611433633,89,28.3667,129.4833,290.08,5.43
92,butaritari,94,KI,1611433347,80,3.0707,172.7902,299.64,5.18
93,cuamba,100,MZ,1611433633,95,-14.8031,36.5372,293.73,1.33
94,katobu,100,ID,1611433633,90,-4.9408,122.5276,297.42,0.3
95,tuktoyaktuk,1,CA,1611433633,76,69.4541,-133.0374,244.15,8.23
96,chicama,40,PE,1611433634,83,-7.8447,-79.1469,296.15,4.12
97,port alfred,92,ZA,1611433466,94,-33.5906,26.891,293.71,2.24
98,saldanha,100,ZA,1611433466,72,-33.0117,17.9442,292.15,6.69
99,mahibadhoo,92,MV,1611433634,64,3.7833,72.9667,301.61,2.91
100,khatanga,100,RU,1611433634,85,71.9667,102.5,240.38,4.89
101,inhambane,75,MZ,1611433635,89,-23.865,35.3833,301.15,6.17
102,carnarvon,75,AU,1611433478,64,-24.8667,113.6333,296.15,6.17
103,ulladulla,3,AU,1611433582,100,-35.35,150.4667,295.37,2.57
104,buraydah,40,SA,1611433636,37,26.326,43.975,284.15,3.09
105,golden,75,US,1611433636,39,39.7555,-105.2211,282.59,2.57
106,isangel,100,VU,1611433477,88,-19.55,169.2667,298.41,3.1
107,vao,100,NC,1611433637,81,-22.6667,167.4833,297.8,11.88
108,bengkulu,95,ID,1611433638,81,-3.8004,102.2655,297.92,2.19
109,ucluelet,75,CA,1611433639,81,48.9329,-125.5528,279.26,2.06
110,kuruman,58,ZA,1611433639,27,-27.4524,23.4325,301.72,2.04
111,hualmay,38,PE,1611433639,63,-11.0964,-77.6139,297.98,4.27
112,vaini,75,TO,1611433639,89,-21.2,-175.2,300.15,3.54
113,atar,96,MR,1611433639,18,20.5169,-13.0499,294.42,4.37
114,cape town,75,ZA,1611433582,82,-33.9258,18.4232,293.15,5.14
115,norman wells,40,CA,1611433466,76,65.282,-126.8329,245.15,3.6
